EXP to Level:,Mortal:,Immortal:,Godly:,Being:,Common Increase,,Enemy EXP:,Tier-1:,"1,500",Tier-2:,"3,000",Tier-3:,"4,500",Boss-Tier:,"10,000",Increase:,123,246,369,"20,910"
,"7,425,000","7,425,500","7,426,500","7,427,500","43,000",,,,"7,342,755",,"14,685,510",,"22,028,265",,"1,248,023,350",,"42,558","85,116","127,674","7,234,860"
,"7,468,125","7,468,625","7,469,625","7,470,625","43,125",,,,"7,385,313",,"14,770,626",,"22,155,939",,"1,255,258,210",,"42,681","85,362","128,043","7,255,770"
,"7,511,375","7,511,875","7,512,875","7,513,875","43,250",,,,"7,427,994",,"14,855,988",,"22,283,982",,"1,262,513,980",,"42,804","85,608","128,412","7,276,680"
,"7,554,750","7,555,250","7,556,250","7,557,250","43,375",,,,"7,470,798",,"14,941,596",,"22,412,394",,"1,269,790,660",,"42,927","85,854","128,781","7,297,590"
,"7,598,250","7,598,750","7,599,750","7,600,750","43,500",,,,"7,513,725",,"15,027,450",,"22,541,175",,"1,277,088,250",,"43,050","86,100","129,150","7,318,500"
,"7,641,875","7,642,375","7,643,375","7,644,375","43,625",,,,"7,556,775",,"15,113,550",,"22,670,325",,"1,284,406,750",,"43,173","86,346","129,519","7,339,410"
,"7,685,625","7,686,125","7,687,125","7,688,125","43,750",,,,"7,599,948",,"15,199,896",,"22,799,844",,"1,291,746,160",,"43,296","86,592","129,888","7,360,320"
,"7,729,500","7,730,000","7,731,000","7,732,000","43,875",,,,"7,643,244",,"15,286,488",,"22,929,732",,"1,299,106,480",,"43,419","86,838","130,257","7,381,230"
,"7,773,500","7,774,000","7,775,000","7,776,000","44,000",,,,"7,686,663",,"15,373,326",,"23,059,989",,"1,306,487,710",,"43,542","87,084","130,626","7,402,140"
,"7,817,625","7,818,125","7,819,125","7,820,125","44,125",,,,"7,730,205",,"15,460,410",,"23,190,615",,"1,313,889,850",,"43,665","87,330","130,995","7,423,050"
,"7,861,875","7,862,375","7,863,375","7,864,375","44,250",,,,"7,773,870",,"15,547,740",,"23,321,610",,"1,321,312,900",,"43,788","87,576","131,364","7,443,960"
,"7,906,250","7,906,750","7,907,750","7,908,750","44,375",,,,"7,817,658",,"15,635,316",,"23,452,974",,"1,328,756,860",,"43,911","87,822","131,733","7,464,870"
,"7,950,750","7,951,250","7,952,250","7,953,250","44,500",,,,"7,861,569",,"15,723,138",,"23,584,707",,"1,336,221,730",,"44,034","88,068","132,102","7,485,780"
,"7,995,375","7,995,875","7,996,875","7,997,875","44,625",,,,"7,905,603",,"15,811,206",,"23,716,809",,"1,343,707,510",,"44,157","88,314","132,471","7,506,690"
,"8,040,125","8,040,625","8,041,625","8,042,625","44,750",,,,"7,949,760",,"15,899,520",,"23,849,280",,"1,351,214,200",,"44,280","88,560","132,840","7,527,600"
,"8,085,000","8,085,500","8,086,500","8,087,500","44,875",,,,"7,994,040",,"15,988,080",,"23,982,120",,"1,358,741,800",,"44,403","88,806","133,209","7,548,510"
,"8,130,000","8,130,500","8,131,500","8,132,500","45,000",,,,"8,038,443",,"16,076,886",,"24,115,329",,"1,366,290,310",,"44,526","89,052","133,578","7,569,420"
,"8,175,125","8,175,625","8,176,625","8,177,625","45,125",,,,"8,082,969",,"16,165,938",,"24,248,907",,"1,373,859,730",,"44,649","89,298","133,947","7,590,330"
,"8,220,375","8,220,875","8,221,875","8,222,875","45,250",,,,"8,127,618",,"16,255,236",,"24,382,854",,"1,381,450,060",,"44,772","89,544","134,316","7,611,240"
,"8,265,750","8,266,250","8,267,250","8,268,250","45,375",,,,"8,172,390",,"16,344,780",,"24,517,170",,"1,389,061,300",,"44,895","89,790","134,685","7,632,150"
,"8,311,250","8,311,750","8,312,750","8,313,750","45,500",,,,"8,217,285",,"16,434,570",,"24,651,855",,"1,396,693,450",,"45,018","90,036","135,054","7,653,060"
,"8,356,875","8,357,375","8,358,375","8,359,375","45,625",,,,"8,262,303",,"16,524,606",,"24,786,909",,"1,404,346,510",,"45,141","90,282","135,423","7,673,970"
,"8,402,625","8,403,125","8,404,125","8,405,125","45,750",,,,"8,307,444",,"16,614,888",,"24,922,332",,"1,412,020,480",,"45,264","90,528","135,792","7,694,880"
,"8,448,500","8,449,000","8,450,000","8,451,000","45,875",,,,"8,352,708",,"16,705,416",,"25,058,124",,"1,419,715,360",,"45,387","90,774","136,161","7,715,790"
,"8,494,500","8,495,000","8,496,000","8,497,000","46,000",,,,"8,398,095",,"16,796,190",,"25,194,285",,"1,427,431,150",,"45,510","91,020","136,530","7,736,700"
,"8,540,625","8,541,125","8,542,125","8,543,125","46,125",,,,"8,443,605",,"16,887,210",,"25,330,815",,"1,435,167,850",,"45,633","91,266","136,899","7,757,610"
,"8,586,875","8,587,375","8,588,375","8,589,375","46,250",,,,"8,489,238",,"16,978,476",,"25,467,714",,"1,442,925,460",,"45,756","91,512","137,268","7,778,520"
,"8,633,250","8,633,750","8,634,750","8,635,750","46,375",,,,"8,534,994",,"17,069,988",,"25,604,982",,"1,450,703,980",,"45,879","91,758","137,637","7,799,430"
,"8,679,750","8,680,250","8,681,250","8,682,250","46,500",,,,"8,580,873",,"17,161,746",,"25,742,619",,"1,458,503,410",,"46,002","92,004","138,006","7,820,340"
,"8,726,375","8,726,875","8,727,875","8,728,875","46,625",,,,"8,626,875",,"17,253,750",,"25,880,625",,"1,466,323,750",,"46,125","92,250","138,375","7,841,250"
,"8,773,125","8,773,625","8,774,625","8,775,625","46,750",,,,"8,673,000",,"17,346,000",,"26,019,000",,"1,474,165,000",,"46,248","92,496","138,744","7,862,160"
,"8,820,000","8,820,500","8,821,500","8,822,500","46,875",,,,"8,719,248",,"17,438,496",,"26,157,744",,"1,482,027,160",,"46,371","92,742","139,113","7,883,070"
,"8,867,000","8,867,500","8,868,500","8,869,500","47,000",,,,"8,765,619",,"17,531,238",,"26,296,857",,"1,489,910,230",,"46,494","92,988","139,482","7,903,980"
,"8,914,125","8,914,625","8,915,625","8,916,625","47,125",,,,"8,812,113",,"17,624,226",,"26,436,339",,"1,497,814,210",,"46,617","93,234","139,851","7,924,890"
,"8,961,375","8,961,875","8,962,875","8,963,875","47,250",,,,"8,858,730",,"17,717,460",,"26,576,190",,"1,505,739,100",,"46,740","93,480","140,220","7,945,800"
,"9,008,750","9,009,250","9,010,250","9,011,250","47,375",,,,"8,905,470",,"17,810,940",,"26,716,410",,"1,513,684,900",,"46,863","93,726","140,589","7,966,710"
,"9,056,250","9,056,750","9,057,750","9,058,750","47,500",,,,"8,952,333",,"17,904,666",,"26,856,999",,"1,521,651,610",,"46,986","93,972","140,958","7,987,620"
,"9,103,875","9,104,375","9,105,375","9,106,375","47,625",,,,"8,999,319",,"17,998,638",,"26,997,957",,"1,529,639,230",,"47,109","94,218","141,327","8,008,530"
,"9,151,625","9,152,125","9,153,125","9,154,125","47,750",,,,"9,046,428",,"18,092,856",,"27,139,284",,"1,537,647,760",,"47,232","94,464","141,696","8,029,440"
,"9,199,500","9,200,000","9,201,000","9,202,000","47,875",,,,"9,093,660",,"18,187,320",,"27,280,980",,"1,545,677,200",,"47,355","94,710","142,065","8,050,350"
,"9,247,500","9,248,000","9,249,000","9,250,000","48,000",,,,"9,141,015",,"18,282,030",,"27,423,045",,"1,553,727,550",,"47,478","94,956","142,434","8,071,260"
,"9,295,625","9,296,125","9,297,125","9,298,125","48,125",,,,"9,188,493",,"18,376,986",,"27,565,479",,"1,561,798,810",,"47,601","95,202","142,803","8,092,170"
,"9,343,875","9,344,375","9,345,375","9,346,375","48,250",,,,"9,236,094",,"18,472,188",,"27,708,282",,"1,569,890,980",,"47,724","95,448","143,172","8,113,080"
,"9,392,250","9,392,750","9,393,750","9,394,750","48,375",,,,"9,283,818",,"18,567,636",,"27,851,454",,"1,578,004,060",,"47,847","95,694","143,541","8,133,990"
,"9,440,750","9,441,250","9,442,250","9,443,250","48,500",,,,"9,331,665",,"18,663,330",,"27,994,995",,"1,586,138,050",,"47,970","95,940","143,910","8,154,900"
,"9,489,375","9,489,875","9,490,875","9,491,875","48,625",,,,"9,379,635",,"18,759,270",,"28,138,905",,"1,594,292,950",,"48,093","96,186","144,279","8,175,810"
,"9,538,125","9,538,625","9,539,625","9,540,625","48,750",,,,"9,427,728",,"18,855,456",,"28,283,184",,"1,602,468,760",,"48,216","96,432","144,648","8,196,720"
,"9,587,000","9,587,500","9,588,500","9,589,500","48,875",,,,"9,475,944",,"18,951,888",,"28,427,832",,"1,610,665,480",,"48,339","96,678","145,017","8,217,630"
,"9,636,000","9,636,500","9,637,500","9,638,500","49,000",,,,"9,524,283",,"19,048,566",,"28,572,849",,"1,618,883,110",,"48,462","96,924","145,386","8,238,540"
,"9,685,125","9,685,625","9,686,625","9,687,625","49,125",,,,"9,572,745",,"19,145,490",,"28,718,235",,"1,627,121,650",,"48,585","97,170","145,755","8,259,450"
,"9,734,375","9,734,875","9,735,875","9,736,875","49,250",,,,"9,621,330",,"19,242,660",,"28,863,990",,"1,635,381,100",,"48,708","97,416","146,124","8,280,360"
,"9,783,750","9,784,250","9,785,250","9,786,250","49,375",,,,"9,670,038",,"19,340,076",,"29,010,114",,"1,643,661,460",,"48,831","97,662","146,493","8,301,270"
,"9,833,250","9,833,750","9,834,750","9,835,750","49,500",,,,"9,718,869",,"19,437,738",,"29,156,607",,"1,651,962,730",,"48,954","97,908","146,862","8,322,180"
,"9,882,875","9,883,375","9,884,375","9,885,375","49,625",,,,"9,767,823",,"19,535,646",,"29,303,469",,"1,660,284,910",,"49,077","98,154","147,231","8,343,090"
,"9,932,625","9,933,125","9,934,125","9,935,125","49,750",,,,"9,816,900",,"19,633,800",,"29,450,700",,"1,668,628,000",,"49,200","98,400","147,600","8,364,000"
,"9,982,500","9,983,000","9,984,000","9,985,000","49,875",,,,"9,866,100",,"19,732,200",,"29,598,300",,"1,676,992,000",,"49,323","98,646","147,969","8,384,910"
,"10,032,500","10,033,000","10,034,000","10,035,000","50,000",,,,"9,915,423",,"19,830,846",,"29,746,269",,"1,685,376,910",,"49,446","98,892","148,338","8,405,820"
,"10,082,625","10,083,125","10,084,125","10,085,125","50,125",,,,"9,964,869",,"19,929,738",,"29,894,607",,"1,693,782,730",,"49,569","99,138","148,707","8,426,730"
,"10,132,875","10,133,375","10,134,375","10,135,375","50,250",,,,"10,014,438",,"20,028,876",,"30,043,314",,"1,702,209,460",,"49,692","99,384","149,076","8,447,640"
,"10,183,250","10,183,750","10,184,750","10,185,750","50,375",,,,"10,064,130",,"20,128,260",,"30,192,390",,"1,710,657,100",,"49,815","99,630","149,445","8,468,550"
,"10,233,750","10,234,250","10,235,250","10,236,250","50,500",,,,"10,113,945",,"20,227,890",,"30,341,835",,"1,719,125,650",,"49,938","99,876","149,814","8,489,460"
,"10,284,375","10,284,875","10,285,875","10,286,875","50,625",,,,"10,163,883",,"20,327,766",,"30,491,649",,"1,727,615,110",,"50,061","100,122","150,183","8,510,370"
,"10,335,125","10,335,625","10,336,625","10,337,625","50,750",,,,"10,213,944",,"20,427,888",,"30,641,832",,"1,736,125,480",,"50,184","100,368","150,552","8,531,280"
,"10,386,000","10,386,500","10,387,500","10,388,500","50,875",,,,"10,264,128",,"20,528,256",,"30,792,384",,"1,744,656,760",,"50,307","100,614","150,921","8,552,190"
,"10,437,000","10,437,500","10,438,500","10,439,500","51,000",,,,"10,314,435",,"20,628,870",,"30,943,305",,"1,753,208,950",,"50,430","100,860","151,290","8,573,100"
,"10,488,125","10,488,625","10,489,625","10,490,625","51,125",,,,"10,364,865",,"20,729,730",,"31,094,595",,"1,761,782,050",,"50,553","101,106","151,659","8,594,010"
,"10,539,375","10,539,875","10,540,875","10,541,875","51,250",,,,"10,415,418",,"20,830,836",,"31,246,254",,"1,770,376,060",,"50,676","101,352","152,028","8,614,920"
,"10,590,750","10,591,250","10,592,250","10,593,250","51,375",,,,"10,466,094",,"20,932,188",,"31,398,282",,"1,778,990,980",,"50,799","101,598","152,397","8,635,830"
,"10,642,250","10,642,750","10,643,750","10,644,750","51,500",,,,"10,516,893",,"21,033,786",,"31,550,679",,"1,787,626,810",,"50,922","101,844","152,766","8,656,740"
,"10,693,875","10,694,375","10,695,375","10,696,375","51,625",,,,"10,567,815",,"21,135,630",,"31,703,445",,"1,796,283,550",,"51,045","102,090","153,135","8,677,650"
,"10,745,625","10,746,125","10,747,125","10,748,125","51,750",,,,"10,618,860",,"21,237,720",,"31,856,580",,"1,804,961,200",,"51,168","102,336","153,504","8,698,560"
,"10,797,500","10,798,000","10,799,000","10,800,000","51,875",,,,"10,670,028",,"21,340,056",,"32,010,084",,"1,813,659,760",,"51,291","102,582","153,873","8,719,470"
,"10,849,500","10,850,000","10,851,000","10,852,000","52,000",,,,"10,721,319",,"21,442,638",,"32,163,957",,"1,822,379,230",,"51,414","102,828","154,242","8,740,380"
,"10,901,625","10,902,125","10,903,125","10,904,125","52,125",,,,"10,772,733",,"21,545,466",,"32,318,199",,"1,831,119,610",,"51,537","103,074","154,611","8,761,290"
,"10,953,875","10,954,375","10,955,375","10,956,375","52,250",,,,"10,824,270",,"21,648,540",,"32,472,810",,"1,839,880,900",,"51,660","103,320","154,980","8,782,200"
,"11,006,250","11,006,750","11,007,750","11,008,750","52,375",,,,"10,875,930",,"21,751,860",,"32,627,790",,"1,848,663,100",,"51,783","103,566","155,349","8,803,110"
,"11,058,750","11,059,250","11,060,250","11,061,250","52,500",,,,"10,927,713",,"21,855,426",,"32,783,139",,"1,857,466,210",,"51,906","103,812","155,718","8,824,020"
,"11,111,375","11,111,875","11,112,875","11,113,875","52,625",,,,"10,979,619",,"21,959,238",,"32,938,857",,"1,866,290,230",,"52,029","104,058","156,087","8,844,930"
,"11,164,125","11,164,625","11,165,625","11,166,625","52,750",,,,"11,031,648",,"22,063,296",,"33,094,944",,"1,875,135,160",,"52,152","104,304","156,456","8,865,840"
,"11,217,000","11,217,500","11,218,500","11,219,500","52,875",,,,"11,083,800",,"22,167,600",,"33,251,400",,"1,884,001,000",,"52,275","104,550","156,825","8,886,750"
,"11,270,000","11,270,500","11,271,500","11,272,500","53,000",,,,"11,136,075",,"22,272,150",,"33,408,225",,"1,892,887,750",,"52,398","104,796","157,194","8,907,660"
,"11,323,125","11,323,625","11,324,625","11,325,625","53,125",,,,"11,188,473",,"22,376,946",,"33,565,419",,"1,901,795,410",,"52,521","105,042","157,563","8,928,570"
,"11,376,375","11,376,875","11,377,875","11,378,875","53,250",,,,"11,240,994",,"22,481,988",,"33,722,982",,"1,910,723,980",,"52,644","105,288","157,932","8,949,480"
,"11,429,750","11,430,250","11,431,250","11,432,250","53,375",,,,"11,293,638",,"22,587,276",,"33,880,914",,"1,919,673,460",,"52,767","105,534","158,301","8,970,390"
,"11,483,250","11,483,750","11,484,750","11,485,750","53,500",,,,"11,346,405",,"22,692,810",,"34,039,215",,"1,928,643,850",,"52,890","105,780","158,670","8,991,300"
,"11,536,875","11,537,375","11,538,375","11,539,375","53,625",,,,"11,399,295",,"22,798,590",,"34,197,885",,"1,937,635,150",,"53,013","106,026","159,039","9,012,210"
,"11,590,625","11,591,125","11,592,125","11,593,125","53,750",,,,"11,452,308",,"22,904,616",,"34,356,924",,"1,946,647,360",,"53,136","106,272","159,408","9,033,120"
,"11,644,500","11,645,000","11,646,000","11,647,000","53,875",,,,"11,505,444",,"23,010,888",,"34,516,332",,"1,955,680,480",,"53,259","106,518","159,777","9,054,030"
,"11,698,500","11,699,000","11,700,000","11,701,000","54,000",,,,"11,558,703",,"23,117,406",,"34,676,109",,"1,964,734,510",,"53,382","106,764","160,146","9,074,940"
,"11,752,625","11,753,125","11,754,125","11,755,125","54,125",,,,"11,612,085",,"23,224,170",,"34,836,255",,"1,973,809,450",,"53,505","107,010","160,515","9,095,850"
,"11,806,875","11,807,375","11,808,375","11,809,375","54,250",,,,"11,665,590",,"23,331,180",,"34,996,770",,"1,982,905,300",,"53,628","107,256","160,884","9,116,760"
,"11,861,250","11,861,750","11,862,750","11,863,750","54,375",,,,"11,719,218",,"23,438,436",,"35,157,654",,"1,992,022,060",,"53,751","107,502","161,253","9,137,670"
,"11,915,750","11,916,250","11,917,250","11,918,250","54,500",,,,"11,772,969",,"23,545,938",,"35,318,907",,"2,001,159,730",,"53,874","107,748","161,622","9,158,580"
,"11,970,375","11,970,875","11,971,875","11,972,875","54,625",,,,"11,826,843",,"23,653,686",,"35,480,529",,"2,010,318,310",,"53,997","107,994","161,991","9,179,490"
,"12,025,125","12,025,625","12,026,625","12,027,625","54,750",,,,"11,880,840",,"23,761,680",,"35,642,520",,"2,019,497,800",,"54,120","108,240","162,360","9,200,400"
,"12,080,000","12,080,500","12,081,500","12,082,500","54,875",,,,"11,934,960",,"23,869,920",,"35,804,880",,"2,028,698,200",,"54,243","108,486","162,729","9,221,310"
,"12,135,000","12,135,500","12,136,500","12,137,500","55,000",,,,"11,989,203",,"23,978,406",,"35,967,609",,"2,037,919,510",,"54,366","108,732","163,098","9,242,220"
,"12,190,125","12,190,625","12,191,625","12,192,625","55,125",,,,"12,043,569",,"24,087,138",,"36,130,707",,"2,047,161,730",,"54,489","108,978","163,467","9,263,130"
,"12,245,375","12,245,875","12,246,875","12,247,875","55,250",,,,"12,098,058",,"24,196,116",,"36,294,174",,"2,056,424,860",,"54,612","109,224","163,836","9,284,040"
,"12,300,750","12,301,250","12,302,250","12,303,250","55,375",,,,"12,152,670",,"24,305,340",,"36,458,010",,"2,065,708,900",,"54,735","109,470","164,205","9,304,950"
,"12,356,250","12,356,750","12,357,750","12,358,750","55,500",,,,"12,207,405",,"24,414,810",,"36,622,215",,"2,075,013,850",,"54,858","109,716","164,574","9,325,860"
,"12,411,875","12,412,375","12,413,375","12,414,375","55,625",,,,"12,262,263",,"24,524,526",,"36,786,789",,"2,084,339,710",,"54,981","109,962","164,943","9,346,770"
,"12,467,625","12,468,125","12,469,125","12,470,125","55,750",,,,"12,317,244",,"24,634,488",,"36,951,732",,"2,093,686,480",,"55,104","110,208","165,312","9,367,680"
,"12,523,500","12,524,000","12,525,000","12,526,000","55,875",,,,"12,372,348",,"24,744,696",,"37,117,044",,"2,103,054,160",,"55,227","110,454","165,681","9,388,590"
,"12,579,500","12,580,000","12,581,000","12,582,000","56,000",,,,"12,427,575",,"24,855,150",,"37,282,725",,"2,112,442,750",,"55,350","110,700","166,050","9,409,500"
,"12,635,625","12,636,125","12,637,125","12,638,125","56,125",,,,"12,482,925",,"24,965,850",,"37,448,775",,"2,121,852,250",,"55,473","110,946","166,419","9,430,410"
,"12,691,875","12,692,375","12,693,375","12,694,375","56,250",,,,"12,538,398",,"25,076,796",,"37,615,194",,"2,131,282,660",,"55,596","111,192","166,788","9,451,320"
,"12,748,250","12,748,750","12,749,750","12,750,750","56,375",,,,"12,593,994",,"25,187,988",,"37,781,982",,"2,140,733,980",,"55,719","111,438","167,157","9,472,230"
,"12,804,750","12,805,250","12,806,250","12,807,250","56,500",,,,"12,649,713",,"25,299,426",,"37,949,139",,"2,150,206,210",,"55,842","111,684","167,526","9,493,140"
,"12,861,375","12,861,875","12,862,875","12,863,875","56,625",,,,"12,705,555",,"25,411,110",,"38,116,665",,"2,159,699,350",,"55,965","111,930","167,895","9,514,050"
,"12,918,125","12,918,625","12,919,625","12,920,625","56,750",,,,"12,761,520",,"25,523,040",,"38,284,560",,"2,169,213,400",,"56,088","112,176","168,264","9,534,960"
,"12,975,000","12,975,500","12,976,500","12,977,500","56,875",,,,"12,817,608",,"25,635,216",,"38,452,824",,"2,178,748,360",,"56,211","112,422","168,633","9,555,870"
,"13,032,000","13,032,500","13,033,500","13,034,500","57,000",,,,"12,873,819",,"25,747,638",,"38,621,457",,"2,188,304,230",,"56,334","112,668","169,002","9,576,780"
,"13,089,125","13,089,625","13,090,625","13,091,625","57,125",,,,"12,930,153",,"25,860,306",,"38,790,459",,"2,197,881,010",,"56,457","112,914","169,371","9,597,690"
,"13,146,375","13,146,875","13,147,875","13,148,875","57,250",,,,"12,986,610",,"25,973,220",,"38,959,830",,"2,207,478,700",,"56,580","113,160","169,740","9,618,600"
,"13,203,750","13,204,250","13,205,250","13,206,250","57,375",,,,"13,043,190",,"26,086,380",,"39,129,570",,"2,217,097,300",,"56,703","113,406","170,109","9,639,510"
,"13,261,250","13,261,750","13,262,750","13,263,750","57,500",,,,"13,099,893",,"26,199,786",,"39,299,679",,"2,226,736,810",,"56,826","113,652","170,478","9,660,420"
,"13,318,875","13,319,375","13,320,375","13,321,375","57,625",,,,"13,156,719",,"26,313,438",,"39,470,157",,"2,236,397,230",,"56,949","113,898","170,847","9,681,330"
,"13,376,625","13,377,125","13,378,125","13,379,125","57,750",,,,"13,213,668",,"26,427,336",,"39,641,004",,"2,246,078,560",,"57,072","114,144","171,216","9,702,240"
,"13,434,500","13,435,000","13,436,000","13,437,000","57,875",,,,"13,270,740",,"26,541,480",,"39,812,220",,"2,255,780,800",,"57,195","114,390","171,585","9,723,150"
,"13,492,500","13,493,000","13,494,000","13,495,000","58,000",,,,"13,327,935",,"26,655,870",,"39,983,805",,"2,265,503,950",,"57,318","114,636","171,954","9,744,060"
,"13,550,625","13,551,125","13,552,125","13,553,125","58,125",,,,"13,385,253",,"26,770,506",,"40,155,759",,"2,275,248,010",,"57,441","114,882","172,323","9,764,970"
,"13,608,875","13,609,375","13,610,375","13,611,375","58,250",,,,"13,442,694",,"26,885,388",,"40,328,082",,"2,285,012,980",,"57,564","115,128","172,692","9,785,880"
,"13,667,250","13,667,750","13,668,750","13,669,750","58,375",,,,"13,500,258",,"27,000,516",,"40,500,774",,"2,294,798,860",,"57,687","115,374","173,061","9,806,790"
,"13,725,750","13,726,250","13,727,250","13,728,250","58,500",,,,"13,557,945",,"27,115,890",,"40,673,835",,"2,304,605,650",,"57,810","115,620","173,430","9,827,700"
,"13,784,375","13,784,875","13,785,875","13,786,875","58,625",,,,"13,615,755",,"27,231,510",,"40,847,265",,"2,314,433,350",,"57,933","115,866","173,799","9,848,610"
,"13,843,125","13,843,625","13,844,625","13,845,625","58,750",,,,"13,673,688",,"27,347,376",,"41,021,064",,"2,324,281,960",,"58,056","116,112","174,168","9,869,520"
,"13,902,000","13,902,500","13,903,500","13,904,500","58,875",,,,"13,731,744",,"27,463,488",,"41,195,232",,"2,334,151,480",,"58,179","116,358","174,537","9,890,430"
,"13,961,000","13,961,500","13,962,500","13,963,500","59,000",,,,"13,789,923",,"27,579,846",,"41,369,769",,"2,344,041,910",,"58,302","116,604","174,906","9,911,340"
,"14,020,125","14,020,625","14,021,625","14,022,625","59,125",,,,"13,848,225",,"27,696,450",,"41,544,675",,"2,353,953,250",,"58,425","116,850","175,275","9,932,250"
,"14,079,375","14,079,875","14,080,875","14,081,875","59,250",,,,"13,906,650",,"27,813,300",,"41,719,950",,"2,363,885,500",,"58,548","117,096","175,644","9,953,160"
,"14,138,750","14,139,250","14,140,250","14,141,250","59,375",,,,"13,965,198",,"27,930,396",,"41,895,594",,"2,373,838,660",,"58,671","117,342","176,013","9,974,070"
,"14,198,250","14,198,750","14,199,750","14,200,750","59,500",,,,"14,023,869",,"28,047,738",,"42,071,607",,"2,383,812,730",,"58,794","117,588","176,382","9,994,980"
,"14,257,875","14,258,375","14,259,375","14,260,375","59,625",,,,"14,082,663",,"28,165,326",,"42,247,989",,"2,393,807,710",,"58,917","117,834","176,751","10,015,890"
,"14,317,625","14,318,125","14,319,125","14,320,125","59,750",,,,"14,141,580",,"28,283,160",,"42,424,740",,"2,403,823,600",,"59,040","118,080","177,120","10,036,800"
,"14,377,500","14,378,000","14,379,000","14,380,000","59,875",,,,"14,200,620",,"28,401,240",,"42,601,860",,"2,413,860,400",,"59,163","118,326","177,489","10,057,710"
,"14,437,500","14,438,000","14,439,000","14,440,000","60,000",,,,"14,259,783",,"28,519,566",,"42,779,349",,"2,423,918,110",,"59,286","118,572","177,858","10,078,620"
,"14,497,625","14,498,125","14,499,125","14,500,125","60,125",,,,"14,319,069",,"28,638,138",,"42,957,207",,"2,433,996,730",,"59,409","118,818","178,227","10,099,530"
,"14,557,875","14,558,375","14,559,375","14,560,375","60,250",,,,"14,378,478",,"28,756,956",,"43,135,434",,"2,444,096,260",,"59,532","119,064","178,596","10,120,440"
,"14,618,250","14,618,750","14,619,750","14,620,750","60,375",,,,"14,438,010",,"28,876,020",,"43,314,030",,"2,454,216,700",,"59,655","119,310","178,965","10,141,350"
,"14,678,750","14,679,250","14,680,250","14,681,250","60,500",,,,"14,497,665",,"28,995,330",,"43,492,995",,"2,464,358,050",,"59,778","119,556","179,334","10,162,260"
,"14,739,375","14,739,875","14,740,875","14,741,875","60,625",,,,"14,557,443",,"29,114,886",,"43,672,329",,"2,474,520,310",,"59,901","119,802","179,703","10,183,170"
,"14,800,125","14,800,625","14,801,625","14,802,625","60,750",,,,"14,617,344",,"29,234,688",,"43,852,032",,"2,484,703,480",,"60,024","120,048","180,072","10,204,080"
,"14,861,000","14,861,500","14,862,500","14,863,500","60,875",,,,"14,677,368",,"29,354,736",,"44,032,104",,"2,494,907,560",,"60,147","120,294","180,441","10,224,990"
,"14,922,000","14,922,500","14,923,500","14,924,500","61,000",,,,"14,737,515",,"29,475,030",,"44,212,545",,"2,505,132,550",,"60,270","120,540","180,810","10,245,900"
,"14,983,125","14,983,625","14,984,625","14,985,625","61,125",,,,"14,797,785",,"29,595,570",,"44,393,355",,"2,515,378,450",,"60,393","120,786","181,179","10,266,810"
,"15,044,375","15,044,875","15,045,875","15,046,875","61,250",,,,"14,858,178",,"29,716,356",,"44,574,534",,"2,525,645,260",,"60,516","121,032","181,548","10,287,720"
,"15,105,750","15,106,250","15,107,250","15,108,250","61,375",,,,"14,918,694",,"29,837,388",,"44,756,082",,"2,535,932,980",,"60,639","121,278","181,917","10,308,630"
,"15,167,250","15,167,750","15,168,750","15,169,750","61,500",,,,"14,979,333",,"29,958,666",,"44,937,999",,"2,546,241,610",,"60,762","121,524","182,286","10,329,540"
,"15,228,875","15,229,375","15,230,375","15,231,375","61,625",,,,"15,040,095",,"30,080,190",,"45,120,285",,"2,556,571,150",,"60,885","121,770","182,655","10,350,450"
,"15,290,625","15,291,125","15,292,125","15,293,125","61,750",,,,"15,100,980",,"30,201,960",,"45,302,940",,"2,566,921,600",,"61,008","122,016","183,024","10,371,360"
,"15,352,500","15,353,000","15,354,000","15,355,000","61,875",,,,"15,161,988",,"30,323,976",,"45,485,964",,"2,577,292,960",,"61,131","122,262","183,393","10,392,270"
,"15,414,500","15,415,000","15,416,000","15,417,000","62,000",,,,"15,223,119",,"30,446,238",,"45,669,357",,"2,587,685,230",,"61,254","122,508","183,762","10,413,180"
,"15,476,625","15,477,125","15,478,125","15,479,125","62,125",,,,"15,284,373",,"30,568,746",,"45,853,119",,"2,598,098,410",,"61,377","122,754","184,131","10,434,090"
,"15,538,875","15,539,375","15,540,375","15,541,375","62,250",,,,"15,345,750",,"30,691,500",,"46,037,250",,"2,608,532,500",,"61,500","123,000","184,500","10,455,000"
,"15,601,250","15,601,750","15,602,750","15,603,750","62,375",,,,,,"30,814,500",,"46,221,750",,"2,618,987,500",,"61,623","123,246","184,869","10,475,910"
,"15,663,750","15,664,250","15,665,250","15,666,250","62,500",,,,,,"30,937,746",,"46,406,619",,"2,629,463,410",,"61,746","123,492","185,238","10,496,820"
,"15,726,375","15,726,875","15,727,875","15,728,875","62,625",,,,,,"31,061,238",,"46,591,857",,"2,639,960,230",,"61,869","123,738","185,607","10,517,730"
,"15,789,125","15,789,625","15,790,625","15,791,625","62,750",,,,,,"31,184,976",,"46,777,464",,"2,650,477,960",,"61,992","123,984","185,976","10,538,640"
